date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20160502,0.78,-0.01,-0.36,0.001,93.64
20160503,-1.05,-0.66,-0.49,0.001,95.18
20160504,-0.66,-0.15,0.06,0.001,94.19
20160505,-0.08,-0.5,0.09,0.001,93.24
20160506,0.38,0.05,0.24,0.001,92.72
20160509,0.05,0.36,-1.48,0.001,92.79
20160510,1.26,-0.4,0.47,0.001,93.42
20160511,-0.89,-0.36,0.78,0.001,92.51
20160512,-0.11,-0.6,0.15,0.001,90.34
20160513,-0.82,0.38,-0.66,0.001,90.52
20160516,0.99,0.28,-0.24,0.001,93.88
20160517,-0.95,-0.78,0.61,0.001,93.49
20160518,0.1,0.11,0.83,0.001,94.56
20160519,-0.33,-0.32,-0.29,0.001,94.2
20160520,0.75,0.9,-0.3,0.001,95.22
20160523,-0.18,0.26,-0.32,0.001,96.43
20160524,1.43,0.68,-0.34,0.001,97.9
20160525,0.72,-0.21,0.57,0.001,99.62
20160526,-0.04,-0.09,-0.51,0.001,100.41
20160527,0.49,0.33,-0.22,0.001,100.35
20160531,-0.01,0.5,-0.36,0.001,99.86
20160601,0.2,0.65,-0.25,0.001,98.46
20160602,0.35,0.31,-0.59,0.001,97.72
20160603,-0.38,-0.14,-0.11,0.001,97.92
20160606,0.6,0.68,0.32,0.001,98.63
20160607,0.12,0.19,0.11,0.001,99.03
20160608,0.37,0.45,-0.11,0.001,98.94
20160609,-0.27,-0.4,-0.22,0.001,99.65
20160610,-1.05,-0.34,-0.18,0.001,98.83
20160613,-0.84,-0.36,0.1,0.001,97.34
20160614,-0.19,0.27,-0.71,0.001,97.46
20160615,-0.11,0.25,-0.05,0.001,97.14
20160616,0.24,-0.34,-0.4,0.001,97.55
20160617,-0.3,-0.1,0.94,0.001,95.33
20160620,0.71,0.61,-0.01,0.001,95.1
20160621,0.21,-0.62,0.5,0.001,95.91
20160622,-0.2,-0.31,0.08,0.001,95.55
20160623,1.45,0.5,0.43,0.001,96.1
20160624,-3.7,0.15,-1.14,0.001,93.4
20160627,-2.07,-0.95,-0.67,0.001,92.04
20160628,1.76,-0.39,0.14,0.001,93.59
20160629,1.8,0.27,-0.07,0.001,94.4
20160630,1.42,0.35,0.45,0.001,95.6
20160701,0.24,0.53,-0.41,0.001,95.89
20160705,-0.85,-0.62,-1.36,0.001,94.99
20160706,0.62,0.17,-0.12,0.001,95.53
20160707,0.02,0.35,-0.2,0.001,95.94
20160708,1.6,0.89,0.35,0.001,96.68
20160711,0.43,0.6,0.25,0.001,96.98
20160712,0.75,0.62,1,0.001,97.42
20160713,-0.05,-0.52,0.51,0.001,96.87
20160714,0.51,-0.46,0.45,0.001,98.79
20160715,-0.05,0.3,0.01,0.001,98.78
20160718,0.25,-0.02,-0.12,0.001,99.83
20160719,-0.22,-0.62,0.05,0.001,99.87
20160720,0.48,0.45,-0.87,0.001,99.96
20160721,-0.38,-0.05,-0.01,0.001,99.43
