Date,portfolio,market
2012-01-03,0,0.0001879238
2012-01-04,0,0.0029437171
2012-01-05,0,-0.0025369615
2012-01-06,0,0.0022615975
2012-01-09,-0.0031171028,0.0088857698
2012-01-10,-0.0017965401,0.0003095969
2012-01-11,-0.0011085273,0.0023366087
2012-01-12,0.004346742,-0.0049479228
2012-01-13,-0.0018912309,0.0035529545
2012-01-17,0.0024400767,0.011107929
2012-01-18,-0.0041997854,0.0049386569
2012-01-19,0.0015552856,0.0006694599
2012-01-20,-0.0011612796,0.0004713429
2012-01-23,-0.000251536,-0.0010258176
2012-01-24,0.0004615458,0.0086791426
2012-01-25,0.0031801051,-0.005753891
2012-01-26,-0.0031165832,-0.0015928778
2012-01-27,-0.0008664154,-0.002522123
2012-01-30,-0.000063701,-0.000456947
2012-01-31,0.0100005126,0.0088996058
2012-02-01,0.0012484048,0.0010951469
2012-02-02,-0.0046682174,0.0146053566
2012-02-03,0.0024988196,-0.0004238739
2012-02-06,0.0011027569,0.002023382
2012-02-07,-0.004721701,0.0021602108
2012-02-08,0.0003131411,0.0014741104
2012-02-09,0.0034604341,-0.0068863023
2012-02-10,-0.0036497572,0.0068000394
2012-02-13,0.0046045908,-0.0009395237
2012-02-14,0.0008371656,-0.0053832062
2012-02-15,0.0019004156,0.0110257061
2012-02-16,0.0018954019,0.00234893
2012-02-17,0.0009765358,0.0007199232
2012-02-21,0.0003516345,-0.003340107
2012-02-22,-0.0023913043,0.0042720025
2012-02-23,-0.0029750657,0.0016722376
2012-02-24,0.0012415148,0.0013545594
2012-02-27,0.0016430361,0.0033563335
2012-02-28,0.0003075265,-0.0047369877
2012-02-29,0.0018051591,0.0061580397
2012-03-01,-0.0003233506,-0.0032457562
2012-03-02,0.0004821707,-0.003869694
2012-03-05,-0.0060130107,-0.0153701609
2012-03-06,0.003356376,0.0069006224
2012-03-07,-0.0003286725,0.0098179317
2012-03-08,0.0010953407,0.0036312501
2012-03-09,-0.0005646215,0.0001604609
2012-03-12,-0.0050123659,0.0181315491
2012-03-13,-0.0042098815,-0.0011962621
2012-03-14,-0.0025175333,0.0059671994
2012-03-15,-0.0036715755,0.0011193983
2012-03-16,0.0027235679,0.0039738463
2012-03-19,-0.0059605752,-0.0030005178
2012-03-20,-0.0019820822,-0.0018711971
2012-03-21,-0.0002506763,-0.0072065421
2012-03-22,0.0033479699,0.0031088585
2012-03-23,-0.0003916685,0.0138858252
2012-03-26,0.0018925436,-0.002816775
2012-03-27,0.0032139635,-0.0049415094
2012-03-28,-0.0003429167,-0.00160793
2012-03-29,0.0031005917,0.0036984364
2012-03-30,0.0001137635,0.0075046456
2012-04-02,0.0051453853,-0.0039886359
2012-04-03,-0.0051432933,-0.0102025244
2012-04-04,0.0018261286,-0.0006290423
2012-04-05,-0.0050813172,-0.0113584384
2012-04-09,-0.0095405743,-0.0170814541
2012-04-10,0.0047383025,0.0074488957
2012-04-11,0.0015295526,0.0137793876
2012-04-12,0.007353532,-0.0124750007
2012-04-13,0.00153862,-0.0005036008
2012-04-16,-0.002108453,0.0154866738
2012-04-17,-0.0001358326,-0.0040552883
2012-04-18,0.0019728349,-0.0059343972
2012-04-19,0.0012676352,0.0011692654
2012-04-20,0.0009551157,-0.0084075702
2012-04-23,0.0009938295,0.003679774
2012-04-24,0.0033426007,0.0136445916
2012-04-25,-0.0015378054,0.0066801655
2012-04-26,-0.0140343057,0.0024143238
2012-04-27,-0.0010386247,-0.0038835018
2012-04-30,0.0003317592,0.0056583842
2012-05-01,0.0009116997,-0.0024966832
2012-05-02,0.001854862,-0.0076588718
2012-05-03,-0.0063859656,-0.0161472085
2012-05-04,0.0010906664,0.0003505807
2012-05-07,-0.0043823734,-0.0042786732
2012-05-08,-0.0015000818,-0.0067022667
2012-05-09,0.0022344003,0.0025174106
2012-05-10,-0.0045676219,-0.0033873409
