Date,AMZN,BA,BAC,HPQ,MSFT,PG,VZ
2012-01-03,179.03,74.22,5.8,26.62,26.765,66.83,39.73
2012-01-04,177.51,74.33,5.81,26.6,27.4,66.8,39.21
2012-01-05,177.61,73.53,6.31,26.5,27.68,66.52,38.94
2012-01-06,182.61,73.98,6.18,26.4,28.105,66.36,38.33
2012-01-09,178.56,74.53,6.27,26.44,27.74,66.64,38.37
2012-01-10,179.34,75,6.63,26.69,27.84,66.33,38.57
2012-01-11,178.9,74.74,6.87,26.635,27.72,65.68,38.9
2012-01-12,175.93,75.51,6.79,26.95,28,65.81,38.92
2012-01-13,178.42,74.6,6.61,26.49,28.25,65.81,38.92
2012-01-17,181.66,75.24,6.48,26.455,28.255,66.26,39.02
2012-01-18,189.44,75.06,6.8,27,28.23,66.03,39.01
2012-01-19,194.45,75.56,6.96,27.15,28.12,66.08,39
2012-01-20,190.93,75.52,7.07,28.13,29.71,66.23,38.97
2012-01-23,186.09,75.51,7.25,28.68,29.73,65,38.4
2012-01-24,187,75.36,7.29,28.52,29.34,64.5,37.79
2012-01-25,187.8,75.82,7.35,28.32,29.56,64.98,37.69
2012-01-26,193.315,75.31,7.3,27.99,29.5,64.8,37.34
2012-01-27,195.37,74.55,7.29,27.88,29.23,64.3,37.21
2012-01-30,192.15,74.16,7.07,27.88,29.61,63.21,37.61
2012-01-31,194.44,74.18,7.13,27.98,29.53,63.04,37.66
2012-02-01,179.46,75.37,7.36,28.76,29.89,63.21,37.8
2012-02-02,181.72,75.22,7.45,28.5,29.95,63.32,37.56
2012-02-03,187.68,76.34,7.84,29.07,30.24,62.77,37.84
2012-02-06,183.14,75.46,7.97,28.76,30.2,63.51,38.14
2012-02-07,184.19,75.2,7.85,28.95,30.35,63.7,37.92
2012-02-08,185.48,75.46,8.13,29.46,30.66,63.64,37.92
2012-02-09,184.98,75.9,8.18,29.11,30.77,64.04,37.92
2012-02-10,185.54,74.95,8.07,28.7,30.495,63.88,37.69
2012-02-13,191.59,74.85,8.25,28.75,30.58,64.23,38.13
2012-02-14,191.3,75.56,7.98,29.08,30.25,64.48,38.04
2012-02-15,184.47,75.21,7.78,29.12,30.05,64.55,37.83
2012-02-16,179.93,75.27,8.09,29.885,31.285,65.2,38.05
2012-02-17,182.5,75.35,8.02,29.59,31.25,64.91,38.46
2012-02-21,182.26,75.72,8.109,29.35,31.44,64.42,38.49
2012-02-22,180.58,76.06,7.95,28.94,31.27,64.44,38.21
2012-02-23,178.89,75.85,8.02,27.05,31.37,66.42,38.13
2012-02-24,179.13,76.06,7.88,26.64,31.48,66.71,38.14
2012-02-27,178.53,75.21,8.039,26.25,31.35,66.7,38.13
2012-02-28,183.8,75.16,8.119,26.18,31.87,67.39,38.15
2012-02-29,179.69,74.95,7.97,25.31,31.74,67.62,38.11
2012-03-01,180.04,75.08,8.119,25.25,32.29,66.66,38.43
2012-03-02,179.3,74.9,8.13,25.32,32.075,66.67,38.67
2012-03-05,180.26,74.13,7.97,25.01,31.8,66.95,39
2012-03-06,181.09,72.56,7.71,24.17,31.555,66.84,38.69
2012-03-07,183.77,73.52,8.02,24.36,31.84,66.58,38.87
2012-03-08,187.64,74.17,8.06,24.64,32.009,66.9,39.22
2012-03-09,184.32,73.29,8.05,24.18,31.99,66.93,39.1
2012-03-12,183.39,73.6,7.99,24.04,32.04,67.71,39.32
2012-03-13,184.59,74.31,8.49,24.57,32.67,67.9,39.48
2012-03-14,182.26,75.23,8.84,24.34,32.77,67.85,39.47
2012-03-15,184.43,75.43,9.24,24.4,32.85,67.68,39.54
2012-03-16,185.05,75.2,9.8,24.49,32.6,67.25,39.57
2012-03-19,185.52,75.4,9.53,24.34,32.2,67.21,39.65
2012-03-20,192.33,75.14,9.81,23.98,31.99,67.21,39.63
2012-03-21,191.73,75.01,9.82,23.46,31.91,67.2,39.78
2012-03-22,192.4,73.92,9.6,23.03,31.995,67.52,39.66
2012-03-23,195.04,73.97,9.85,23.63,32.009,67.43,39.42
2012-03-26,202.87,75.18,9.93,23.89,32.59,67.46,39.33
2012-03-27,205.44,74.81,9.6,23.62,32.52,67.15,38.66
2012-03-28,201.16,74.33,9.75,23.58,32.189,67.19,38.26
2012-03-29,204.61,74.08,9.53,23.51,32.119,67.01,38.07
2012-03-30,202.51,74.37,9.57,23.83,32.255,67.21,38.23
2012-04-02,198.05,75.17,9.68,23.88,32.29,67.56,38.52
2012-04-03,199.66,74.65,9.49,23.45,31.94,67.09,38.46
2012-04-04,193.99,73.67,9.2,23.27,31.21,67.26,38.39
2012-04-05,194.39,73.59,9.23,23.11,31.52,67.31,37.66
2012-04-09,191.87,72.43,8.93,23.14,31.1,66.81,37.46
2012-04-10,186.98,70.6,8.54,23.27,30.47,66.35,36.8
2012-04-11,187.97,71.77,8.86,23.41,30.345,66.44,37.38
2012-04-12,190.69,73.5,9.17,25.1,30.975,66.09,37.55
2012-04-13,188.46,72.92,8.68,24.57,30.81,65.81,37.26
2012-04-16,185.5,72.68,8.79,24.31,31.075,66.78,37.43
2012-04-17,188.39,74.09,8.92,24.72,31.44,67.02,37.74
2012-04-18,191.07,73.71,8.92,24.93,31.14,66.75,37.66
2012-04-19,191.1,73.1,8.77,24.71,31.01,66.57,38.15
2012-04-20,189.98,73.55,8.36,24.51,32.42,67.51,38.73
2012-04-23,188.24,72.86,8.18,24.27,32.119,66.65,38.57
2012-04-24,190.33,73.21,8.21,24.44,31.92,67,39.5
2012-04-25,194.42,77.08,8.26,24.83,32.2,66.89,39.48
2012-04-26,195.99,76.99,8.27,24.87,32.11,66.87,40.14
2012-04-27,226.85,77.27,8.25,24.75,31.98,64.44,40.23
2012-04-30,231.9,76.8,8.109,24.76,32.015,63.64,40.38
2012-05-01,230.04,77.25,8.31,25.17,32.009,63.57,40.56
